,Tonsillite,Virus_(biologia),Pagina_principale,Acido,Tosse,Bronchite,Vaccino,Sinusite,Antibiotico,Inverno,Influenza,Influnet
0,0.0,0.0,0.1713086975501428,0.0,0.0,0.0,0.0,0.0,0.0,3.2399437831350903,-0.6469207712943251,-0.6176846968639016
1,0.0,0.0,-0.39327420709611516,0.0,0.0,0.0,0.0,0.0,0.0,-0.24711435634081197,-0.7014388297898961,-0.6109852560823221
2,0.0,0.0,0.15876241078022596,0.0,0.0,3.4373513953892805,2.353367870974374,0.0,0.0,-0.24711435634081197,-0.8217545450904666,-0.601510169648136
3,0.0,0.0,-0.14234847169777828,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7174182607282531,-0.5908618251009237
4,0.0,0.0,-0.2929039129367804,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7550169217596814,-0.5833589079462211
5,0.0,0.0,0.10857726370055858,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.7606567209143956,-0.5729308346206178
6,0.0,0.0,0.18385498432005964,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.5886428466956113,-0.5500876817682645
7,0.0,0.0,-0.07961703784819407,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.6394010390880395,-0.5494622484550948
8,0.0,0.0,0.09603097693064173,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,0.0,-0.24711435634081197,-0.57360338228304,-0.5235101898635556
9,0.0,0.0,0.24658641816964386,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,2.0614281655901356,-0.24711435634081197,-0.544464419983683,-0.5020948053958285
10,0.0,0.0,-0.06707075107827723,0.0,0.0,-0.28644594961577335,-0.42112898743751953,0.0,4.395692411920143,3.2399437831350903,-0.7399774573471101,-0.48674600993568007
